x,y
-2.227872,53.4740202
-2.2279253,53.4752126
-2.2273541,53.4744334
-2.2292001,53.4731095
-2.2288702,53.4732174
-2.2296512,53.4733257
-2.2275698,53.4728089
-2.2268069,53.4731259
-2.2263129,53.4724474
-2.225697,53.473307
-2.2245115,53.473018
-2.2242865,53.4733131
-2.2248037,53.472622
-2.2238579,53.4723825
-2.2240227,53.4729
-2.224335,53.4725135
-2.2238124,53.4724344
-2.2235289,53.4727688
-2.2230834,53.4733584
-2.2231472,53.4741128
-2.222086,53.4746464
-2.223185,53.4746115
-2.2233497,53.4751118
-2.2228279,53.4756094
-2.2216589,53.4751436
-2.2210821,53.4748921
-2.2205395,53.4755215
-2.2201027,53.4754831
-2.2223693,53.470423
-2.2227646,53.4703224
-2.2229658,53.4702399
-2.2229734,53.4702273
-2.2258615,53.4715656
-2.226381,53.4706428
-2.226987,53.4708966
-2.228189,53.4714079
-2.224345,53.4718374
-2.244777,53.4869379
-2.2444388,53.4869197
-2.2430521,53.4873546
-2.2416085,53.4857791
-2.2420408,53.4864523
-2.247106,53.480616
-2.2444743,53.4798514
-2.2449522,53.470708
-2.2447711,53.471834
-2.2425224,53.4725515
-2.2418165,53.471765
-2.2408429,53.4720775
-2.2415016,53.4728018
-2.2341666,53.4711941
-2.2362081,53.4699336
-2.2351872,53.4692683
-2.2346963,53.4687666
-2.2333494,53.4691916
-2.2322388,53.4695083
-2.2340309,53.4730544
-2.2348162,53.4746017
-2.2372608,53.4742139
-2.2384745,53.474188
-2.2387032,53.474134
-2.2395755,53.4743547
-2.2397784,53.4738744
-2.2377205,53.4748575
-2.2378935,53.4753521
-2.2399646,53.4733203
-2.2392887,53.4725575
-2.2314621,53.4641006
-2.2295298,53.4623178
-2.2284233,53.4609509
-2.2276735,53.4592161
-2.2272685,53.4577952
-2.2284572,53.4577361
-2.2201786,53.4592106
-2.2301742,53.464523
-2.2311272,53.4654176
-2.2389983,53.4764738
-2.2395345,53.4769381
-2.2172529,53.4667313
-2.2183191,53.467016
-2.2192676,53.4672942
-2.221098,53.4681374
-2.2218846,53.4686849
-2.2224791,53.4691555
-2.2227685,53.4698302
-2.2157061,53.4701403
-2.215724,53.471056
-2.2162831,53.4728443
-2.2163245,53.473496
-2.2166236,53.4749386
-2.2175736,53.4761624
-2.2045605,53.46685
-2.1607342,53.4580659
-2.159119,53.4579431
-2.2493011,53.4861494
-2.2526923,53.4866186
-2.2491727,53.4865846
-2.2529563,53.4655482
-2.2518869,53.4657502
-2.2509112,53.4659278
-2.2511893,53.4664147
-2.2521586,53.4662258
-2.2532102,53.4660108
-2.2535185,53.4665387
-2.2514894,53.4669187
-2.2497199,53.4656264
-2.2506401,53.4654494
-2.2516112,53.4652587
-2.2526742,53.465054
-2.2536541,53.4648684
-2.2539217,53.4653651
-2.2541538,53.465835
-2.2544127,53.4663669
-2.2558716,53.4660908
-2.2549116,53.4651741
-2.2542265,53.4648391
-2.2540133,53.4643973
-2.2548273,53.4643053
-2.254419,53.4639308
-2.253436,53.4645285
-2.2525473,53.4647016
-2.2494224,53.4656845
-2.2564101,53.4648851
-2.2567425,53.4648209
-2.2557474,53.4650158
-2.2551972,53.4647556
-2.2510806,53.4662256
-2.2495815,53.4672897
-2.2470512,53.4677822
-2.2433188,53.4684992
-2.2429922,53.4697882
-2.2423903,53.4691253
-2.2522851,53.503985
-2.2451481,53.501451
-2.2362327,53.5000703
-2.2445998,53.481703
-2.2343194,53.4767149
-2.2336978,53.4766807
-2.2331957,53.4759624
-2.2254967,53.4759654
-2.2284901,53.4759078
-2.2295891,53.4756202
-2.2353146,53.4754287
-2.2281784,53.4675558
-2.2215169,53.4756107
-2.2298982,53.4658161
-2.2315493,53.4652811
-2.2206234,53.4636701
-2.22188,53.4640204
-2.2197939,53.4634389
